Date,2020 Natural Snow Depth,2019 Natural Snow Depth,2018 Natural Snow Depth,2017 Natural Snow Depth,2017 Average depth in snow-making area (100 ha),2016 Natural Snow Depth,2015 Natural Snow Depth
5-Jun,,,,0,0,,0
6-Jun,0,,,,,,0
7-Jun,0,,,,,,0
8-Jun,0,41,,15,0,,0
9-Jun,0,36,0,17,0,,0
10-Jun,0,31,0,16,18,0,0
11-Jun,0,26,0,15,25,0,6
12-Jun,0,25,0,14,25,5,6
13-Jun,0,16,0,13,25,2,6
14-Jun,0,15,17,12,28,0,4
15-Jun,0,15,39,10,29,4,2
16-Jun,0,15,56,9,29,0,2
17-Jun,0,15,73,8,29,0,0
18-Jun,0,13,81,8,29,0,0
19-Jun,0,19,78,8,29,0,1
20-Jun,0,19,76,7,29,0,2
21-Jun,0,19,75,5,37,15,2
22-Jun,6,19,72,5,41,24,1
23-Jun,14,19,71,4,41,46,1
24-Jun,9,19,71,5,41,52,0
25-Jun,7,19,70,6,41,52,0
26-Jun,4,18,67,7,41,49,0
27-Jun,4,18,67,8,41,51,0
28-Jun,4,18,67,8,41,49,0
29-Jun,2,18,63,8,46,45,0
30-Jun,1,27,66,9,46,69,0
1-Jul,1,30,72,10,46,66,0
2-Jul,4,28,71,10,46,66,5
3-Jul,16,28,70,10,46,61,8
4-Jul,38,28,68,11,46,60,9
5-Jul,30,27,67,16,65,68,7
6-Jul,30,26,61,21,73,68,5
7-Jul,30,24,64,23,73,57,5
8-Jul,29,20,91,27,70,50,4
9-Jul,25,19,88,31,68,50,4
10-Jul,24,25,87,34,68,48,9
11-Jul,22,38,86,37,68,51,22
12-Jul,25,44,84,38,74,51,33
13-Jul,31,55,84,36,77,82,39
14-Jul,23,64,84,36,77,90,41
15-Jul,22,74,86,36,77,90,51
16-Jul,20,73,82,38,77,90,53
17-Jul,20,68,81,39,77,90,53
18-Jul,20,71,84,46,77,83,53
19-Jul,19,71,84,64,86,72,49
20-Jul,23,71,99,68,89,70,49
21-Jul,24,70,103,68,89,66,47
22-Jul,23,67,103,66,89,59,47
23-Jul,22,67,98,64,89,65,42
24-Jul,22,83,110,70,89,70,42
25-Jul,21,82,105,73,89,82,55
26-Jul,21,80,104,72,107,101,70
27-Jul,19,80,103,71,112,117,85
28-Jul,17,79,101,80,112,114,87
29-Jul,13,74,96,83,112,112,87
30-Jul,12,74,109,79,112,110,82
31-Jul,12,73,110,76,112,113,86
1-Aug,11,73,122,72,112,108,84
2-Aug,10,70,119,70,111,108,84
3-Aug,9,70,119,69,110,105,96
4-Aug,10,70,124,73,110,102,99
5-Aug,12,69,121,91,110,99,107
6-Aug,12,69,116,106,110,98,113
7-Aug,11,68,141,136,136,98,112
8-Aug,33,92,155,161,161,98,106
9-Aug,24,138,174,160,160,98,106
10-Aug,20,154,169,154,163,93,104
11-Aug,18,162,160,145,163,101,111
12-Aug,17,156,184,139,163,103,112
13-Aug,14,151,182,134,163,108,113
14-Aug,14,145,173,130,163,108,110
15-Aug,12,143,168,125,147,103,109
16-Aug,11,139,183,118,143,102,107
17-Aug,9,143,179,120,143,100,107
18-Aug,13,136,184,147,147,94,109
19-Aug,15,147,205,161,161,91,106
20-Aug,37,149,215,162,162,111,106
21-Aug,50,142,216,160,160,122,105
22-Aug,69,136,217,159,159,125,100
23-Aug,80,134,211,155,169,129,95
24-Aug,79,131,211,154,169,129,93
25-Aug,74,129,206,152,169,125,98
26-Aug,72,128,205,151,169,124,104
27-Aug,70,128,197,150,169,124,98
28-Aug,70,125,196,153,169,124,97
29-Aug,70,128,195,154,172,122,99
30-Aug,65,127,194,153,173,120,96
31-Aug,56,127,193,152,173,109,95
1-Sep,51,127,208,150,173,104,93
2-Sep,49,122,205,148,173,103,91
3-Sep,41,119,200,146,173,116,93
4-Sep,39,115,198,150,173,113,90
5-Sep,39,112,195,176,176,109,87
6-Sep,38,110,192,197,197,105,86
7-Sep,34,128,184,210,210,101,94
8-Sep,29,132,182,216,216,97,103
9-Sep,21,134,179,214,214,90,97
10-Sep,17,135,177,213,213,81,96
11-Sep,16,130,172,206,206,78,93
12-Sep,13,125,165,200,200,78,89
13-Sep,5,121,162,193,193,77,85
14-Sep,5,120,160,190,190,74,83
15-Sep,5,117,156,192,192,93,77
16-Sep,4,111,159,194,194,90,74
17-Sep,3,109,157,192,192,89,74
18-Sep,2,107,153,189,189,86,69
19-Sep,0,102,152,187,187,83,67
20-Sep,0,96,150,187,187,82,62
21-Sep,0,92,148,185,185,79,60
22-Sep,0,84,147,182,182,79,58
23-Sep,0,79,144,176,176,72,57
24-Sep,0,79,136,173,173,68,57
25-Sep,32,77,133,168,168,65,58
26-Sep,45,74,133,165,165,63,57
27-Sep,45,71,132,165,165,72,54
28-Sep,42,69,129,164,164,70,47
29-Sep,36,66,126,159,159,64,45
30-Sep,25,59,125,154,154,,41
1-Oct,12,56,123,153,153,,40
2-Oct,4,52,118,150,150,,36
3-Oct,0,45,113,149,149,,30
4-Oct,0,44,115,144,144,,30
5-Oct,,39,104,139,139,,30
6-Oct,,31,104,133,133,,
7-Oct,,,98,129,129,,
8-Oct,,,,126,126,,
9-Oct,,,,,,,
