Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,083084,2021,01,01,14.6,1,Y
IDCJAC0010,083084,2021,01,02,14.5,1,Y
IDCJAC0010,083084,2021,01,03,12.9,1,Y
IDCJAC0010,083084,2021,01,04,14.4,1,Y
IDCJAC0010,083084,2021,01,05,13.5,1,Y
IDCJAC0010,083084,2021,01,06,10.9,1,Y
IDCJAC0010,083084,2021,01,07,11.2,1,Y
IDCJAC0010,083084,2021,01,08,17.1,1,Y
IDCJAC0010,083084,2021,01,09,19.1,1,Y
IDCJAC0010,083084,2021,01,10,21.4,1,Y
IDCJAC0010,083084,2021,01,11,20.4,1,Y
IDCJAC0010,083084,2021,01,12,22.0,1,Y
IDCJAC0010,083084,2021,01,13,22.2,1,Y
IDCJAC0010,083084,2021,01,14,17.2,1,Y
IDCJAC0010,083084,2021,01,15,10.6,1,Y
IDCJAC0010,083084,2021,01,16,7.8,1,Y
IDCJAC0010,083084,2021,01,17,14.4,1,Y
IDCJAC0010,083084,2021,01,18,17.5,1,Y
IDCJAC0010,083084,2021,01,19,16.4,1,Y
IDCJAC0010,083084,2021,01,20,19.3,1,Y
IDCJAC0010,083084,2021,01,21,18.5,1,Y
IDCJAC0010,083084,2021,01,22,21.4,1,Y
IDCJAC0010,083084,2021,01,23,22.5,1,Y
IDCJAC0010,083084,2021,01,24,23.7,1,Y
IDCJAC0010,083084,2021,01,25,23.6,1,Y
IDCJAC0010,083084,2021,01,26,16.2,1,Y
IDCJAC0010,083084,2021,01,27,13.6,1,Y
IDCJAC0010,083084,2021,01,28,12.2,1,Y
IDCJAC0010,083084,2021,01,29,12.0,1,Y
IDCJAC0010,083084,2021,01,30,15.4,1,Y
IDCJAC0010,083084,2021,01,31,17.7,1,Y
IDCJAC0010,083084,2021,02,01,12.6,1,N
IDCJAC0010,083084,2021,02,02,11.9,1,N
IDCJAC0010,083084,2021,02,03,13.1,1,N
IDCJAC0010,083084,2021,02,04,15.5,1,N
IDCJAC0010,083084,2021,02,05,13.9,1,N
IDCJAC0010,083084,2021,02,06,9.6,1,N
IDCJAC0010,083084,2021,02,07,14.2,1,N
IDCJAC0010,083084,2021,02,08,16.4,1,N
IDCJAC0010,083084,2021,02,09,14.9,1,N
IDCJAC0010,083084,2021,02,10,16.7,1,N
IDCJAC0010,083084,2021,02,11,17.5,1,N
IDCJAC0010,083084,2021,02,12,12.4,1,N
IDCJAC0010,083084,2021,02,13,14.1,1,N
IDCJAC0010,083084,2021,02,14,16.5,1,N
IDCJAC0010,083084,2021,02,15,15.6,1,N
IDCJAC0010,083084,2021,02,16,18.8,1,N
IDCJAC0010,083084,2021,02,17,17.9,1,N
IDCJAC0010,083084,2021,02,18,19.2,1,N
IDCJAC0010,083084,2021,02,19,17.4,1,N
IDCJAC0010,083084,2021,02,20,20.2,1,N
IDCJAC0010,083084,2021,02,21,20.2,1,N
IDCJAC0010,083084,2021,02,22,17.1,1,N
IDCJAC0010,083084,2021,02,23,7.5,1,N
IDCJAC0010,083084,2021,02,24,11.5,1,N
IDCJAC0010,083084,2021,02,25,12.7,1,N
IDCJAC0010,083084,2021,02,26,15.9,1,N
IDCJAC0010,083084,2021,02,27,13.3,1,N
IDCJAC0010,083084,2021,02,28,17.9,1,N
IDCJAC0010,083084,2021,03,01,15.9,1,Y
IDCJAC0010,083084,2021,03,02,11.6,1,Y
IDCJAC0010,083084,2021,03,03,12.1,1,Y
IDCJAC0010,083084,2021,03,04,13.8,1,Y
IDCJAC0010,083084,2021,03,05,15.1,1,Y
IDCJAC0010,083084,2021,03,06,15.3,1,Y
IDCJAC0010,083084,2021,03,07,14.9,1,Y
IDCJAC0010,083084,2021,03,08,13.5,1,Y
IDCJAC0010,083084,2021,03,09,15.0,1,Y
IDCJAC0010,083084,2021,03,10,16.7,1,Y
IDCJAC0010,083084,2021,03,11,12.7,1,Y
IDCJAC0010,083084,2021,03,12,15.5,1,Y
IDCJAC0010,083084,2021,03,13,15.1,1,Y
IDCJAC0010,083084,2021,03,14,7.1,1,Y
IDCJAC0010,083084,2021,03,15,14.2,1,Y
IDCJAC0010,083084,2021,03,16,16.1,1,Y
IDCJAC0010,083084,2021,03,17,15.2,1,Y
IDCJAC0010,083084,2021,03,18,14.4,1,Y
IDCJAC0010,083084,2021,03,19,14.4,1,Y
IDCJAC0010,083084,2021,03,20,10.4,1,Y
IDCJAC0010,083084,2021,03,21,11.7,1,Y
IDCJAC0010,083084,2021,03,22,12.6,1,Y
IDCJAC0010,083084,2021,03,23,11.7,1,Y
IDCJAC0010,083084,2021,03,24,9.0,1,Y
IDCJAC0010,083084,2021,03,25,8.4,1,Y
IDCJAC0010,083084,2021,03,26,9.0,1,Y
IDCJAC0010,083084,2021,03,27,5.9,1,Y
IDCJAC0010,083084,2021,03,28,7.9,1,Y
IDCJAC0010,083084,2021,03,29,11.7,1,Y
IDCJAC0010,083084,2021,03,30,14.1,1,Y
IDCJAC0010,083084,2021,03,31,13.9,1,Y
IDCJAC0010,083084,2021,04,01,16.5,1,Y
IDCJAC0010,083084,2021,04,02,19.7,1,Y
IDCJAC0010,083084,2021,04,03,17.9,1,Y
IDCJAC0010,083084,2021,04,04,17.3,1,Y
IDCJAC0010,083084,2021,04,05,17.0,1,Y
IDCJAC0010,083084,2021,04,06,15.3,1,Y
IDCJAC0010,083084,2021,04,07,15.2,1,Y
IDCJAC0010,083084,2021,04,08,13.2,1,Y
IDCJAC0010,083084,2021,04,09,11.0,1,Y
IDCJAC0010,083084,2021,04,10,2.5,1,Y
IDCJAC0010,083084,2021,04,11,-0.2,1,Y
IDCJAC0010,083084,2021,04,12,4.5,1,Y
IDCJAC0010,083084,2021,04,13,5.6,1,Y
IDCJAC0010,083084,2021,04,14,6.4,1,Y
IDCJAC0010,083084,2021,04,15,5.9,1,Y
