Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,083084,2019,01,01,,,
IDCJAC0009,083084,2019,01,02,,,
IDCJAC0009,083084,2019,01,03,,,
IDCJAC0009,083084,2019,01,04,,,
IDCJAC0009,083084,2019,01,05,,,
IDCJAC0009,083084,2019,01,06,,,
IDCJAC0009,083084,2019,01,07,,,
IDCJAC0009,083084,2019,01,08,,,
IDCJAC0009,083084,2019,01,09,,,
IDCJAC0009,083084,2019,01,10,,,
IDCJAC0009,083084,2019,01,11,,,
IDCJAC0009,083084,2019,01,12,,,
IDCJAC0009,083084,2019,01,13,,,
IDCJAC0009,083084,2019,01,14,,,
IDCJAC0009,083084,2019,01,15,,,
IDCJAC0009,083084,2019,01,16,,,
IDCJAC0009,083084,2019,01,17,,,
IDCJAC0009,083084,2019,01,18,,,
IDCJAC0009,083084,2019,01,19,,,
IDCJAC0009,083084,2019,01,20,,,
IDCJAC0009,083084,2019,01,21,,,
IDCJAC0009,083084,2019,01,22,,,
IDCJAC0009,083084,2019,01,23,,,
IDCJAC0009,083084,2019,01,24,,,
IDCJAC0009,083084,2019,01,25,,,
IDCJAC0009,083084,2019,01,26,,,
IDCJAC0009,083084,2019,01,27,,,
IDCJAC0009,083084,2019,01,28,,,
IDCJAC0009,083084,2019,01,29,,,
IDCJAC0009,083084,2019,01,30,,,
IDCJAC0009,083084,2019,01,31,,,
IDCJAC0009,083084,2019,02,01,,,
IDCJAC0009,083084,2019,02,02,,,
IDCJAC0009,083084,2019,02,03,,,
IDCJAC0009,083084,2019,02,04,,,
IDCJAC0009,083084,2019,02,05,,,
IDCJAC0009,083084,2019,02,06,,,
IDCJAC0009,083084,2019,02,07,,,
IDCJAC0009,083084,2019,02,08,,,
IDCJAC0009,083084,2019,02,09,,,
IDCJAC0009,083084,2019,02,10,,,
IDCJAC0009,083084,2019,02,11,,,
IDCJAC0009,083084,2019,02,12,,,
IDCJAC0009,083084,2019,02,13,,,
IDCJAC0009,083084,2019,02,14,,,
IDCJAC0009,083084,2019,02,15,,,
IDCJAC0009,083084,2019,02,16,,,
IDCJAC0009,083084,2019,02,17,,,
IDCJAC0009,083084,2019,02,18,,,
IDCJAC0009,083084,2019,02,19,,,
IDCJAC0009,083084,2019,02,20,,,
IDCJAC0009,083084,2019,02,21,,,
IDCJAC0009,083084,2019,02,22,,,
IDCJAC0009,083084,2019,02,23,,,
IDCJAC0009,083084,2019,02,24,,,
IDCJAC0009,083084,2019,02,25,,,
IDCJAC0009,083084,2019,02,26,,,
IDCJAC0009,083084,2019,02,27,,,
IDCJAC0009,083084,2019,02,28,,,
IDCJAC0009,083084,2019,03,01,,,
IDCJAC0009,083084,2019,03,02,,,
IDCJAC0009,083084,2019,03,03,,,
IDCJAC0009,083084,2019,03,04,,,
IDCJAC0009,083084,2019,03,05,,,
IDCJAC0009,083084,2019,03,06,,,
IDCJAC0009,083084,2019,03,07,,,
IDCJAC0009,083084,2019,03,08,,,
IDCJAC0009,083084,2019,03,09,,,
IDCJAC0009,083084,2019,03,10,,,
IDCJAC0009,083084,2019,03,11,,,
IDCJAC0009,083084,2019,03,12,,,
IDCJAC0009,083084,2019,03,13,,,
IDCJAC0009,083084,2019,03,14,,,
IDCJAC0009,083084,2019,03,15,,,
IDCJAC0009,083084,2019,03,16,,,
IDCJAC0009,083084,2019,03,17,,,
IDCJAC0009,083084,2019,03,18,,,
IDCJAC0009,083084,2019,03,19,,,
IDCJAC0009,083084,2019,03,20,,,
IDCJAC0009,083084,2019,03,21,,,
IDCJAC0009,083084,2019,03,22,,,
IDCJAC0009,083084,2019,03,23,,,
IDCJAC0009,083084,2019,03,24,,,
IDCJAC0009,083084,2019,03,25,,,
IDCJAC0009,083084,2019,03,26,,,
IDCJAC0009,083084,2019,03,27,,,
IDCJAC0009,083084,2019,03,28,,,
IDCJAC0009,083084,2019,03,29,,,
IDCJAC0009,083084,2019,03,30,,,
IDCJAC0009,083084,2019,03,31,,,
IDCJAC0009,083084,2019,04,01,,,
IDCJAC0009,083084,2019,04,02,,,
IDCJAC0009,083084,2019,04,03,,,
IDCJAC0009,083084,2019,04,04,,,
IDCJAC0009,083084,2019,04,05,,,
IDCJAC0009,083084,2019,04,06,,,
IDCJAC0009,083084,2019,04,07,,,
IDCJAC0009,083084,2019,04,08,,,
IDCJAC0009,083084,2019,04,09,,,
IDCJAC0009,083084,2019,04,10,,,
IDCJAC0009,083084,2019,04,11,,,
IDCJAC0009,083084,2019,04,12,,,
IDCJAC0009,083084,2019,04,13,,,
IDCJAC0009,083084,2019,04,14,,,
IDCJAC0009,083084,2019,04,15,,,
IDCJAC0009,083084,2019,04,16,,,
IDCJAC0009,083084,2019,04,17,,,
IDCJAC0009,083084,2019,04,18,,,
IDCJAC0009,083084,2019,04,19,,,
IDCJAC0009,083084,2019,04,20,,,
IDCJAC0009,083084,2019,04,21,,,
IDCJAC0009,083084,2019,04,22,,,
IDCJAC0009,083084,2019,04,23,,,
IDCJAC0009,083084,2019,04,24,,,
IDCJAC0009,083084,2019,04,25,,,
IDCJAC0009,083084,2019,04,26,,,
IDCJAC0009,083084,2019,04,27,,,
IDCJAC0009,083084,2019,04,28,,,
IDCJAC0009,083084,2019,04,29,,,
IDCJAC0009,083084,2019,04,30,,,
IDCJAC0009,083084,2019,05,01,,,
IDCJAC0009,083084,2019,05,02,,,
IDCJAC0009,083084,2019,05,03,,,
IDCJAC0009,083084,2019,05,04,,,
IDCJAC0009,083084,2019,05,05,,,
IDCJAC0009,083084,2019,05,06,,,
IDCJAC0009,083084,2019,05,07,,,
IDCJAC0009,083084,2019,05,08,,,
IDCJAC0009,083084,2019,05,09,,,
IDCJAC0009,083084,2019,05,10,,,
IDCJAC0009,083084,2019,05,11,,,
IDCJAC0009,083084,2019,05,12,,,
IDCJAC0009,083084,2019,05,13,,,
IDCJAC0009,083084,2019,05,14,,,
IDCJAC0009,083084,2019,05,15,,,
IDCJAC0009,083084,2019,05,16,0.0,1,N
IDCJAC0009,083084,2019,05,17,0.0,1,N
IDCJAC0009,083084,2019,05,18,0.0,1,N
IDCJAC0009,083084,2019,05,19,0.0,1,N
IDCJAC0009,083084,2019,05,20,0.0,1,N
IDCJAC0009,083084,2019,05,21,8.2,1,N
IDCJAC0009,083084,2019,05,22,0.0,1,N
IDCJAC0009,083084,2019,05,23,0.0,1,N
IDCJAC0009,083084,2019,05,24,0.0,1,N
IDCJAC0009,083084,2019,05,25,13.8,1,N
IDCJAC0009,083084,2019,05,26,11.4,1,N
IDCJAC0009,083084,2019,05,27,19.0,1,N
IDCJAC0009,083084,2019,05,28,4.0,1,N
IDCJAC0009,083084,2019,05,29,26.4,1,N
IDCJAC0009,083084,2019,05,30,6.0,1,N
IDCJAC0009,083084,2019,05,31,1.4,1,N
IDCJAC0009,083084,2019,06,01,2.0,1,N
IDCJAC0009,083084,2019,06,02,0.0,1,N
IDCJAC0009,083084,2019,06,03,9.8,1,N
IDCJAC0009,083084,2019,06,04,23.6,1,N
IDCJAC0009,083084,2019,06,05,6.2,1,N
IDCJAC0009,083084,2019,06,06,7.2,1,N
IDCJAC0009,083084,2019,06,07,0.0,1,N
IDCJAC0009,083084,2019,06,08,0.0,1,N
IDCJAC0009,083084,2019,06,09,0.0,1,N
IDCJAC0009,083084,2019,06,10,31.0,1,N
IDCJAC0009,083084,2019,06,11,17.4,1,N
IDCJAC0009,083084,2019,06,12,0.0,1,N
IDCJAC0009,083084,2019,06,13,64.2,1,N
IDCJAC0009,083084,2019,06,14,10.2,1,N
IDCJAC0009,083084,2019,06,15,10.2,1,N
IDCJAC0009,083084,2019,06,16,0.4,1,N
IDCJAC0009,083084,2019,06,17,0.0,1,N
IDCJAC0009,083084,2019,06,18,0.0,1,N
IDCJAC0009,083084,2019,06,19,7.0,1,N
IDCJAC0009,083084,2019,06,20,0.0,1,N
IDCJAC0009,083084,2019,06,21,0.0,1,N
IDCJAC0009,083084,2019,06,22,0.4,1,N
IDCJAC0009,083084,2019,06,23,0.0,1,N
IDCJAC0009,083084,2019,06,24,0.0,1,N
IDCJAC0009,083084,2019,06,25,0.0,1,N
IDCJAC0009,083084,2019,06,26,0.0,1,N
IDCJAC0009,083084,2019,06,27,0.0,1,N
IDCJAC0009,083084,2019,06,28,0.0,1,N
IDCJAC0009,083084,2019,06,29,0.8,1,N
IDCJAC0009,083084,2019,06,30,34.6,1,N
IDCJAC0009,083084,2019,07,01,1.6,1,N
IDCJAC0009,083084,2019,07,02,0.0,1,N
IDCJAC0009,083084,2019,07,03,0.8,1,N
IDCJAC0009,083084,2019,07,04,0.2,1,N
IDCJAC0009,083084,2019,07,05,0.0,1,N
IDCJAC0009,083084,2019,07,06,0.0,1,N
IDCJAC0009,083084,2019,07,07,0.0,1,N
IDCJAC0009,083084,2019,07,08,17.6,1,N
IDCJAC0009,083084,2019,07,09,3.4,1,N
IDCJAC0009,083084,2019,07,10,8.6,1,N
IDCJAC0009,083084,2019,07,11,13.2,1,N
IDCJAC0009,083084,2019,07,12,15.8,1,N
IDCJAC0009,083084,2019,07,13,40.4,1,N
IDCJAC0009,083084,2019,07,14,3.8,1,N
IDCJAC0009,083084,2019,07,15,11.2,1,N
IDCJAC0009,083084,2019,07,16,0.4,1,N
IDCJAC0009,083084,2019,07,17,0.4,1,N
IDCJAC0009,083084,2019,07,18,5.6,1,N
IDCJAC0009,083084,2019,07,19,0.8,1,N
IDCJAC0009,083084,2019,07,20,0.0,1,N
IDCJAC0009,083084,2019,07,21,0.0,1,N
IDCJAC0009,083084,2019,07,22,0.2,1,N
IDCJAC0009,083084,2019,07,23,0.8,1,N
IDCJAC0009,083084,2019,07,24,17.4,1,N
IDCJAC0009,083084,2019,07,25,0.0,1,N
IDCJAC0009,083084,2019,07,26,0.0,1,N
IDCJAC0009,083084,2019,07,27,0.6,1,N
IDCJAC0009,083084,2019,07,28,0.4,1,N
IDCJAC0009,083084,2019,07,29,11.4,1,N
IDCJAC0009,083084,2019,07,30,0.8,1,N
IDCJAC0009,083084,2019,07,31,0.0,1,N
IDCJAC0009,083084,2019,08,01,0.0,1,N
IDCJAC0009,083084,2019,08,02,0.0,1,N
IDCJAC0009,083084,2019,08,03,0.0,1,N
IDCJAC0009,083084,2019,08,04,0.0,1,N
IDCJAC0009,083084,2019,08,05,0.0,1,N
IDCJAC0009,083084,2019,08,06,0.0,1,N
IDCJAC0009,083084,2019,08,07,0.0,1,N
IDCJAC0009,083084,2019,08,08,11.2,1,N
IDCJAC0009,083084,2019,08,09,12.8,1,N
IDCJAC0009,083084,2019,08,10,9.8,1,N
IDCJAC0009,083084,2019,08,11,6.0,1,N
IDCJAC0009,083084,2019,08,12,15.2,1,N
IDCJAC0009,083084,2019,08,13,10.4,1,N
IDCJAC0009,083084,2019,08,14,0.0,1,N
IDCJAC0009,083084,2019,08,15,0.0,1,N
IDCJAC0009,083084,2019,08,16,0.0,1,N
IDCJAC0009,083084,2019,08,17,4.8,1,N
IDCJAC0009,083084,2019,08,18,0.2,1,N
IDCJAC0009,083084,2019,08,19,16.4,1,N
IDCJAC0009,083084,2019,08,20,4.6,1,N
IDCJAC0009,083084,2019,08,21,12.2,1,N
IDCJAC0009,083084,2019,08,22,21.2,1,N
IDCJAC0009,083084,2019,08,23,7.4,1,N
IDCJAC0009,083084,2019,08,24,1.4,1,N
IDCJAC0009,083084,2019,08,25,1.0,1,N
IDCJAC0009,083084,2019,08,26,0.0,1,N
IDCJAC0009,083084,2019,08,27,0.0,1,Y
IDCJAC0009,083084,2019,08,28,,,
IDCJAC0009,083084,2019,08,29,3.8,1,N
IDCJAC0009,083084,2019,08,30,0.8,1,N
IDCJAC0009,083084,2019,08,31,0.0,1,N
IDCJAC0009,083084,2019,09,01,0.0,1,N
IDCJAC0009,083084,2019,09,02,6.8,1,N
IDCJAC0009,083084,2019,09,03,0.0,1,N
IDCJAC0009,083084,2019,09,04,0.0,1,N
IDCJAC0009,083084,2019,09,05,0.0,1,N
IDCJAC0009,083084,2019,09,06,2.8,1,N
IDCJAC0009,083084,2019,09,07,12.8,1,N
IDCJAC0009,083084,2019,09,08,2.6,1,N
IDCJAC0009,083084,2019,09,09,7.6,1,N
IDCJAC0009,083084,2019,09,10,5.4,1,N
IDCJAC0009,083084,2019,09,11,0.4,1,N
IDCJAC0009,083084,2019,09,12,0.0,1,N
IDCJAC0009,083084,2019,09,13,0.0,1,N
IDCJAC0009,083084,2019,09,14,0.0,1,N
IDCJAC0009,083084,2019,09,15,0.2,1,N
IDCJAC0009,083084,2019,09,16,26.6,1,N
IDCJAC0009,083084,2019,09,17,6.0,1,N
IDCJAC0009,083084,2019,09,18,0.0,1,N
IDCJAC0009,083084,2019,09,19,0.0,1,N
IDCJAC0009,083084,2019,09,20,0.2,1,N
IDCJAC0009,083084,2019,09,21,1.4,1,N
IDCJAC0009,083084,2019,09,22,,,
IDCJAC0009,083084,2019,09,23,,,
IDCJAC0009,083084,2019,09,24,,,
IDCJAC0009,083084,2019,09,25,,,
IDCJAC0009,083084,2019,09,26,,,
IDCJAC0009,083084,2019,09,27,,,
IDCJAC0009,083084,2019,09,28,,,
IDCJAC0009,083084,2019,09,29,,,
IDCJAC0009,083084,2019,09,30,,,
IDCJAC0009,083084,2019,10,01,,,
IDCJAC0009,083084,2019,10,02,,,
IDCJAC0009,083084,2019,10,03,,,
IDCJAC0009,083084,2019,10,04,,,
IDCJAC0009,083084,2019,10,05,,,
IDCJAC0009,083084,2019,10,06,,,
IDCJAC0009,083084,2019,10,07,,,
IDCJAC0009,083084,2019,10,08,,,
IDCJAC0009,083084,2019,10,09,,,
IDCJAC0009,083084,2019,10,10,,,
IDCJAC0009,083084,2019,10,11,,,
IDCJAC0009,083084,2019,10,12,,,
IDCJAC0009,083084,2019,10,13,,,
IDCJAC0009,083084,2019,10,14,,,
IDCJAC0009,083084,2019,10,15,,,
IDCJAC0009,083084,2019,10,16,,,
IDCJAC0009,083084,2019,10,17,,,
IDCJAC0009,083084,2019,10,18,,,
IDCJAC0009,083084,2019,10,19,,,
IDCJAC0009,083084,2019,10,20,,,
IDCJAC0009,083084,2019,10,21,,,
IDCJAC0009,083084,2019,10,22,,,
IDCJAC0009,083084,2019,10,23,,,
IDCJAC0009,083084,2019,10,24,,,
IDCJAC0009,083084,2019,10,25,,,
IDCJAC0009,083084,2019,10,26,,,
IDCJAC0009,083084,2019,10,27,,,
IDCJAC0009,083084,2019,10,28,,,
IDCJAC0009,083084,2019,10,29,,,
IDCJAC0009,083084,2019,10,30,,,
IDCJAC0009,083084,2019,10,31,0.0,1,Y
IDCJAC0009,083084,2019,11,01,0.0,1,N
IDCJAC0009,083084,2019,11,02,0.0,1,N
IDCJAC0009,083084,2019,11,03,31.0,1,N
IDCJAC0009,083084,2019,11,04,27.0,1,N
IDCJAC0009,083084,2019,11,05,3.6,1,N
IDCJAC0009,083084,2019,11,06,0.4,1,N
IDCJAC0009,083084,2019,11,07,1.0,1,N
IDCJAC0009,083084,2019,11,08,50.6,1,N
IDCJAC0009,083084,2019,11,09,9.0,1,N
IDCJAC0009,083084,2019,11,10,6.6,1,N
IDCJAC0009,083084,2019,11,11,0.2,1,N
IDCJAC0009,083084,2019,11,12,0.0,1,N
IDCJAC0009,083084,2019,11,13,0.4,1,N
IDCJAC0009,083084,2019,11,14,,,
IDCJAC0009,083084,2019,11,15,,,
