date,snow_depth,month,year,Maximum temperature (Degree C),Rainfall amount (millimetres)
2020-06-05,,6,2020,5.3,0.8
2020-06-06,0.0,6,2020,4.8,0.2
2020-06-07,0.0,6,2020,4.0,0.0
2020-06-08,0.0,6,2020,7.0,0.4
2020-06-09,0.0,6,2020,5.2,0.0
2020-06-10,0.0,6,2020,4.6,0.0
2020-06-11,0.0,6,2020,5.4,0.0
2020-06-12,0.0,6,2020,4.7,0.2
2020-06-13,0.0,6,2020,4.9,0.4
2020-06-14,0.0,6,2020,0.3,25.8
2020-06-15,0.0,6,2020,2.7,2.0
2020-06-16,0.0,6,2020,3.0,38.8
2020-06-17,0.0,6,2020,4.3,6.0
2020-06-18,0.0,6,2020,4.0,0.0
2020-06-19,0.0,6,2020,3.9,1.2
2020-06-20,0.0,6,2020,3.2,15.4
2020-06-21,0.0,6,2020,-0.8,31.4
2020-06-22,6.0,6,2020,-1.1,1.4
2020-06-23,14.0,6,2020,1.9,0.0
2020-06-24,9.0,6,2020,4.6,10.6
2020-06-25,7.0,6,2020,0.4,0.2
2020-06-26,4.0,6,2020,2.0,1.0
2020-06-27,4.0,6,2020,1.6,3.4
2020-06-28,4.0,6,2020,3.3,0.4
2020-06-29,2.0,6,2020,4.1,0.4
2020-06-30,1.0,6,2020,1.7,0.4
2020-07-01,1.0,7,2020,3.6,1.2
2020-07-02,4.0,7,2020,-0.5,16.8
2020-07-03,16.0,7,2020,-2.0,0.0
2020-07-04,38.0,7,2020,-0.1,0.0
2020-07-05,30.0,7,2020,2.4,0.0
2020-07-06,30.0,7,2020,1.8,9.4
2020-07-07,30.0,7,2020,4.1,2.4
2020-07-08,29.0,7,2020,2.9,3.6
2020-07-09,25.0,7,2020,2.7,1.2
2020-07-10,24.0,7,2020,1.8,0.6
2020-07-11,22.0,7,2020,1.7,2.8
2020-07-12,25.0,7,2020,0.0,0.6
2020-07-13,31.0,7,2020,0.9,0.0
2020-07-14,23.0,7,2020,0.7,21.4
2020-07-15,22.0,7,2020,0.1,4.4
2020-07-16,20.0,7,2020,-0.3,1.8
2020-07-17,20.0,7,2020,5.7,1.4
2020-07-18,20.0,7,2020,2.7,0.6
2020-07-19,19.0,7,2020,0.0,0.0
2020-07-20,23.0,7,2020,-1.0,1.4
2020-07-21,24.0,7,2020,3.3,1.4
