date,snow_depth
2020-06-05,0.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,0.0
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,6.0
2020-06-23,14.0
2020-06-24,9.0
2020-06-25,7.0
2020-06-26,4.0
2020-06-27,4.0
2020-06-28,4.0
2020-06-29,2.0
2020-06-30,1.0
2020-07-01,1.0
2020-07-02,4.0
2020-07-03,16.0
2020-07-04,38.0
2020-07-05,30.0
2020-07-06,30.0
2020-07-07,30.0
2020-07-08,29.0
2020-07-09,25.0
2020-07-10,24.0
2020-07-11,22.0
2020-07-12,25.0
2020-07-13,31.0
2020-07-14,23.0
2020-07-15,22.0
2020-07-16,20.0
2020-07-17,20.0
2020-07-18,20.0
2020-07-19,19.0
2020-07-20,23.0
2020-07-21,24.0
2020-07-22,23.0
2020-07-23,22.0
2020-07-24,22.0
2020-07-25,21.0
2020-07-26,21.0
2020-07-27,19.0
2020-07-28,17.0
2020-07-29,13.0
2020-07-30,12.0
2020-07-31,12.0
2020-08-01,11.0
2020-08-02,10.0
2020-08-03,9.0
2020-08-04,10.0
2020-08-05,12.0
2020-08-06,12.0
2020-08-07,11.0
2020-08-08,33.0
2020-08-09,24.0
2020-08-10,20.0
2020-08-11,18.0
2020-08-12,17.0
2020-08-13,14.0
2020-08-14,14.0
2020-08-15,12.0
2020-08-16,11.0
2020-08-17,9.0
2020-08-18,13.0
2020-08-19,15.0
2020-08-20,37.0
2020-08-21,50.0
2020-08-22,69.0
2020-08-23,80.0
2020-08-24,79.0
2020-08-25,74.0
2020-08-26,72.0
2020-08-27,70.0
2020-08-28,70.0
2020-08-29,70.0
2020-08-30,65.0
2020-08-31,56.0
2020-09-01,51.0
2020-09-02,49.0
2020-09-03,41.0
2020-09-04,39.0
2020-09-05,39.0
2020-09-06,38.0
2020-09-07,34.0
2020-09-08,29.0
2020-09-09,21.0
2020-09-10,17.0
2020-09-11,16.0
2020-09-12,13.0
2020-09-13,5.0
2020-09-14,5.0
2020-09-15,5.0
2020-09-16,4.0
2020-09-17,3.0
2020-09-18,2.0
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,0.0
2020-09-22,0.0
2020-09-23,0.0
2020-09-24,0.0
2020-09-25,32.0
2020-09-26,45.0
2020-09-27,45.0
2020-09-28,42.0
2020-09-29,36.0
2020-09-30,25.0
2020-10-01,12.0
2020-10-02,4.0
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,41.0
2020-10-06,41.0
2020-10-07,41.0
2020-10-08,41.0
2020-10-09,41.0
2019-06-05,41.0
2019-06-06,41.0
2019-06-07,41.0
2019-06-08,41.0
2019-06-09,36.0
2019-06-10,31.0
2019-06-11,26.0
2019-06-12,25.0
2019-06-13,16.0
2019-06-14,15.0
2019-06-15,15.0
2019-06-16,15.0
2019-06-17,15.0
2019-06-18,13.0
2019-06-19,19.0
2019-06-20,19.0
2019-06-21,19.0
2019-06-22,19.0
2019-06-23,19.0
2019-06-24,19.0
2019-06-25,19.0
2019-06-26,18.0
2019-06-27,18.0
2019-06-28,18.0
2019-06-29,18.0
2019-06-30,27.0
2019-07-01,30.0
2019-07-02,28.0
2019-07-03,28.0
2019-07-04,28.0
2019-07-05,27.0
2019-07-06,26.0
2019-07-07,24.0
2019-07-08,20.0
2019-07-09,19.0
2019-07-10,25.0
2019-07-11,38.0
2019-07-12,44.0
2019-07-13,55.0
2019-07-14,64.0
2019-07-15,74.0
2019-07-16,73.0
2019-07-17,68.0
2019-07-18,71.0
2019-07-19,71.0
2019-07-20,71.0
2019-07-21,70.0
2019-07-22,67.0
2019-07-23,67.0
2019-07-24,83.0
2019-07-25,82.0
2019-07-26,80.0
2019-07-27,80.0
2019-07-28,79.0
2019-07-29,74.0
2019-07-30,74.0
2019-07-31,73.0
2019-08-01,73.0
2019-08-02,70.0
2019-08-03,70.0
2019-08-04,70.0
2019-08-05,69.0
2019-08-06,69.0
2019-08-07,68.0
2019-08-08,92.0
2019-08-09,138.0
2019-08-10,154.0
2019-08-11,162.0
2019-08-12,156.0
2019-08-13,151.0
2019-08-14,145.0
2019-08-15,143.0
2019-08-16,139.0
2019-08-17,143.0
2019-08-18,136.0
2019-08-19,147.0
2019-08-20,149.0
2019-08-21,142.0
2019-08-22,136.0
2019-08-23,134.0
2019-08-24,131.0
2019-08-25,129.0
2019-08-26,128.0
2019-08-27,128.0
2019-08-28,125.0
2019-08-29,128.0
2019-08-30,127.0
2019-08-31,127.0
2019-09-01,127.0
2019-09-02,122.0
2019-09-03,119.0
2019-09-04,115.0
2019-09-05,112.0
2019-09-06,110.0
2019-09-07,128.0
2019-09-08,132.0
2019-09-09,134.0
2019-09-10,135.0
2019-09-11,130.0
2019-09-12,125.0
2019-09-13,121.0
2019-09-14,120.0
2019-09-15,117.0
2019-09-16,111.0
2019-09-17,109.0
2019-09-18,107.0
2019-09-19,102.0
2019-09-20,96.0
2019-09-21,92.0
2019-09-22,84.0
2019-09-23,79.0
2019-09-24,79.0
2019-09-25,77.0
2019-09-26,74.0
2019-09-27,71.0
2019-09-28,69.0
2019-09-29,66.0
2019-09-30,59.0
2019-10-01,56.0
2019-10-02,52.0
2019-10-03,45.0
2019-10-04,44.0
2019-10-05,39.0
2019-10-06,31.0
2019-10-07,0.0
2019-10-08,0.0
2019-10-09,0.0
2018-06-05,0.0
2018-06-06,0.0
2018-06-07,0.0
2018-06-08,0.0
2018-06-09,0.0
2018-06-10,0.0
2018-06-11,0.0
2018-06-12,0.0
2018-06-13,0.0
2018-06-14,17.0
2018-06-15,39.0
2018-06-16,56.0
2018-06-17,73.0
2018-06-18,81.0
2018-06-19,78.0
2018-06-20,76.0
2018-06-21,75.0
2018-06-22,72.0
2018-06-23,71.0
2018-06-24,71.0
2018-06-25,70.0
2018-06-26,67.0
2018-06-27,67.0
2018-06-28,67.0
2018-06-29,63.0
2018-06-30,66.0
2018-07-01,72.0
2018-07-02,71.0
2018-07-03,70.0
2018-07-04,68.0
2018-07-05,67.0
2018-07-06,61.0
2018-07-07,64.0
2018-07-08,91.0
2018-07-09,88.0
2018-07-10,87.0
2018-07-11,86.0
2018-07-12,84.0
2018-07-13,84.0
2018-07-14,84.0
2018-07-15,86.0
2018-07-16,82.0
2018-07-17,81.0
2018-07-18,84.0
2018-07-19,84.0
2018-07-20,99.0
2018-07-21,103.0
2018-07-22,103.0
2018-07-23,98.0
2018-07-24,110.0
2018-07-25,105.0
2018-07-26,104.0
2018-07-27,103.0
2018-07-28,101.0
2018-07-29,96.0
2018-07-30,109.0
2018-07-31,110.0
2018-08-01,122.0
2018-08-02,119.0
2018-08-03,119.0
2018-08-04,124.0
2018-08-05,121.0
2018-08-06,116.0
2018-08-07,141.0
2018-08-08,155.0
2018-08-09,174.0
2018-08-10,169.0
2018-08-11,160.0
2018-08-12,184.0
2018-08-13,182.0
2018-08-14,173.0
2018-08-15,168.0
2018-08-16,183.0
2018-08-17,179.0
2018-08-18,184.0
2018-08-19,205.0
2018-08-20,215.0
2018-08-21,216.0
2018-08-22,217.0
2018-08-23,211.0
2018-08-24,211.0
2018-08-25,206.0
2018-08-26,205.0
2018-08-27,197.0
2018-08-28,196.0
2018-08-29,195.0
2018-08-30,194.0
2018-08-31,193.0
2018-09-01,208.0
2018-09-02,205.0
2018-09-03,200.0
2018-09-04,198.0
2018-09-05,195.0
2018-09-06,192.0
2018-09-07,184.0
2018-09-08,182.0
2018-09-09,179.0
2018-09-10,177.0
2018-09-11,172.0
2018-09-12,165.0
2018-09-13,162.0
2018-09-14,160.0
2018-09-15,156.0
2018-09-16,159.0
2018-09-17,157.0
2018-09-18,153.0
2018-09-19,152.0
2018-09-20,150.0
2018-09-21,148.0
2018-09-22,147.0
2018-09-23,144.0
2018-09-24,136.0
2018-09-25,133.0
2018-09-26,133.0
2018-09-27,132.0
2018-09-28,129.0
2018-09-29,126.0
2018-09-30,125.0
2018-10-01,123.0
2018-10-02,118.0
2018-10-03,113.0
2018-10-04,115.0
2018-10-05,104.0
2018-10-06,104.0
2018-10-07,98.0
2018-10-08,0.0
2018-10-09,0.0
2017-06-05,0.0
2017-06-06,15.0
2017-06-07,15.0
2017-06-08,15.0
2017-06-09,17.0
2017-06-10,16.0
2017-06-11,15.0
2017-06-12,14.0
2017-06-13,13.0
2017-06-14,12.0
2017-06-15,10.0
2017-06-16,9.0
2017-06-17,8.0
2017-06-18,8.0
2017-06-19,8.0
2017-06-20,7.0
2017-06-21,5.0
2017-06-22,5.0
2017-06-23,4.0
2017-06-24,5.0
2017-06-25,6.0
2017-06-26,7.0
2017-06-27,8.0
2017-06-28,8.0
2017-06-29,8.0
2017-06-30,9.0
2017-07-01,10.0
2017-07-02,10.0
2017-07-03,10.0
2017-07-04,11.0
2017-07-05,16.0
2017-07-06,21.0
2017-07-07,23.0
2017-07-08,27.0
2017-07-09,31.0
2017-07-10,34.0
2017-07-11,37.0
2017-07-12,38.0
2017-07-13,36.0
2017-07-14,36.0
2017-07-15,36.0
2017-07-16,38.0
2017-07-17,39.0
2017-07-18,46.0
2017-07-19,64.0
2017-07-20,68.0
2017-07-21,68.0
2017-07-22,66.0
2017-07-23,64.0
2017-07-24,70.0
2017-07-25,73.0
2017-07-26,72.0
2017-07-27,71.0
2017-07-28,80.0
2017-07-29,83.0
2017-07-30,79.0
2017-07-31,76.0
2017-08-01,72.0
2017-08-02,70.0
2017-08-03,69.0
2017-08-04,73.0
2017-08-05,91.0
2017-08-06,106.0
2017-08-07,136.0
2017-08-08,161.0
2017-08-09,160.0
2017-08-10,154.0
2017-08-11,145.0
2017-08-12,139.0
2017-08-13,134.0
2017-08-14,130.0
2017-08-15,125.0
2017-08-16,118.0
2017-08-17,120.0
2017-08-18,147.0
2017-08-19,161.0
2017-08-20,162.0
2017-08-21,160.0
2017-08-22,159.0
2017-08-23,155.0
2017-08-24,154.0
2017-08-25,152.0
2017-08-26,151.0
2017-08-27,150.0
2017-08-28,153.0
2017-08-29,154.0
2017-08-30,153.0
2017-08-31,152.0
2017-09-01,150.0
2017-09-02,148.0
2017-09-03,146.0
2017-09-04,150.0
2017-09-05,176.0
2017-09-06,197.0
2017-09-07,210.0
2017-09-08,216.0
2017-09-09,214.0
2017-09-10,213.0
2017-09-11,206.0
2017-09-12,200.0
2017-09-13,193.0
2017-09-14,190.0
2017-09-15,192.0
